Date,Centre_Name,Commodity_Name,Price
8/1/1998,PATNA,Wheat,6.5
8/1/1998,BHUBANESHWAR,Wheat,8
8/1/1998,KOLKATA,Wheat,7
8/1/1998,GUWAHATI,Wheat,NA
8/1/1998,SHILLONG,Wheat,10
8/1/1998,AIZWAL,Wheat,NA
8/1/1998,AGARTALA,Wheat,NA
8/1/1998,BENGALURU,Wheat,10
8/1/1998,T.PURAM,Wheat,9
8/1/1998,CHENNAI,Wheat,NA
8/1/1998,HYDERABAD,Wheat,11
9/1/1998,DELHI,Wheat,8
9/1/1998,SHIMLA,Wheat,NA
9/1/1998,LUCKNOW,Wheat,6.5
9/1/1998,AHMEDABAD,Wheat,9
9/1/1998,BHOPAL,Wheat,7.25
9/1/1998,MUMBAI,Wheat,10
9/1/1998,JAIPUR,Wheat,6.8
9/1/1998,PATNA,Wheat,6.5
9/1/1998,BHUBANESHWAR,Wheat,8
9/1/1998,KOLKATA,Wheat,7
9/1/1998,GUWAHATI,Wheat,NA
9/1/1998,SHILLONG,Wheat,10
9/1/1998,AIZWAL,Wheat,NA
9/1/1998,AGARTALA,Wheat,NA
9/1/1998,BENGALURU,Wheat,10
9/1/1998,T.PURAM,Wheat,9
9/1/1998,CHENNAI,Wheat,NA
9/1/1998,HYDERABAD,Wheat,11
12/1/1998,DELHI,Wheat,8
12/1/1998,SHIMLA,Wheat,NA
12/1/1998,LUCKNOW,Wheat,6.5
12/1/1998,AHMEDABAD,Wheat,8.5
12/1/1998,BHOPAL,Wheat,7.25
12/1/1998,MUMBAI,Wheat,11
12/1/1998,JAIPUR,Wheat,6.8
12/1/1998,PATNA,Wheat,6.5
12/1/1998,BHUBANESHWAR,Wheat,8
12/1/1998,KOLKATA,Wheat,7
12/1/1998,GUWAHATI,Wheat,NA
12/1/1998,SHILLONG,Wheat,10
12/1/1998,AIZWAL,Wheat,NA
12/1/1998,AGARTALA,Wheat,NA
12/1/1998,BENGALURU,Wheat,10
12/1/1998,T.PURAM,Wheat,9
12/1/1998,CHENNAI,Wheat,NA
12/1/1998,HYDERABAD,Wheat,11
13/1/1998,DELHI,Wheat,8
13/1/1998,SHIMLA,Wheat,NA
13/1/1998,LUCKNOW,Wheat,7
13/1/1998,AHMEDABAD,Wheat,8.5
13/1/1998,BHOPAL,Wheat,7.25
13/1/1998,MUMBAI,Wheat,11
13/1/1998,JAIPUR,Wheat,6.8
13/1/1998,PATNA,Wheat,6.5
13/1/1998,BHUBANESHWAR,Wheat,8
13/1/1998,KOLKATA,Wheat,7
13/1/1998,GUWAHATI,Wheat,NA
